ticker,data,mrs,rsv,atr,atr_ma,atr_ratio,close,dias_rsv,variacao,ret_5d,ret_bova_5d,ret_rel_5d,ret_10d,ret_bova_10d,ret_rel_10d,ret_20d,ret_bova_20d,ret_rel_20d,range_candle,range_ratio,close_pos,ma20,dist_ma20
ECOR3,2024-10-31,-7.267,35.437,0.228,0.223,1.024,6.810,2,C,-2.244,-0.158,-2.086,-5.750,-1.576,-4.174,-25.806,-3.469,-22.337,,,,6.720,1.293
ECOR3,2024-11-05,-6.660,40.179,0.260,0.229,1.138,6.880,2,C,-5.139,-2.320,-2.819,-8.889,-2.792,-6.097,-24.722,-2.076,-22.646,,,,6.750,1.918
ECOR3,2024-11-26,-6.021,126.144,0.275,0.259,1.062,6.780,2,C,-24.366,-3.135,-21.232,-30.141,-1.477,-28.664,-40.563,-6.861,-33.702,,,,6.610,2.609
ECOR3,2025-01-13,-27.203,28.678,0.228,0.300,0.759,4.430,2,C,0.000,3.267,-3.267,10.345,5.042,5.303,4.957,5.628,-0.671,,,,4.170,6.337
ECOR3,2025-01-14,-28.562,77.931,0.215,0.294,0.730,4.360,3,C,5.921,3.297,2.624,8.333,3.924,4.409,11.184,6.002,5.182,,,,4.140,5.178
ECOR3,2025-01-23,-25.175,16.248,0.191,0.242,0.790,4.610,2,C,9.110,3.733,5.377,7.867,3.071,4.796,8.075,4.168,3.907,,,,4.280,7.764
ECOR3,2025-02-04,-20.479,34.698,0.215,0.212,1.015,4.930,2,C,-1.744,1.263,-3.007,4.070,2.781,1.289,3.101,-1.239,4.339,,,,4.610,6.976
ECOR3,2025-02-05,-21.411,3.750,0.219,0.212,1.036,4.880,3,C,-2.935,-0.915,-2.020,0.196,1.340,-1.145,5.871,-0.343,6.214,,,,4.650,5.058
ECOR3,2025-02-18,-18.155,22.724,0.230,0.217,1.061,5.130,2,C,-2.607,-1.971,-0.636,-0.931,-3.911,2.980,1.117,2.833,-1.716,,,,4.850,5.750
ECOR3,2025-02-19,-21.047,4.664,0.234,0.218,1.072,4.890,3,C,-1.758,-1.766,0.008,5.664,-1.661,7.325,5.078,4.008,1.070,,,,4.860,0.540
ECOR3,2025-02-25,-18.126,29.274,0.240,0.226,1.062,5.000,3,C,1.721,-1.978,3.699,1.147,-0.261,1.408,4.206,5.658,-1.452,,,,4.910,1.751
ECOR3,2025-02-27,-18.101,55.414,0.243,0.229,1.061,4.940,5,C,3.868,-0.370,4.238,8.124,4.936,3.187,4.836,4.559,0.277,,,,4.910,0.642
ECOR3,2025-03-05,-17.008,90.995,0.255,0.233,1.095,4.920,7,C,0.194,0.575,-0.381,6.990,7.955,-0.965,13.786,7.372,6.414,,,,4.890,0.507
ECOR3,2025-03-06,-14.397,45.780,0.262,0.235,1.116,5.080,8,C,-0.564,1.752,-2.316,2.068,7.018,-4.951,14.098,6.395,7.702,,,,4.900,3.663
ECOR3,2025-03-11,-15.421,106.577,0.249,0.240,1.036,5.010,2,C,5.153,6.396,-1.243,3.244,7.043,-3.798,9.733,0.406,9.326,,,,4.940,1.246
ECOR3,2025-03-31,-15.425,23.049,0.232,0.248,0.937,5.180,2,C,6.827,-3.590,10.417,16.790,-0.699,17.489,21.956,3.401,18.554,,,,5.110,1.233
