entry_date,exit_date,dias,entry_price,exit_price,stop_inicial,shares,pnl,pnl_pct,saida,equity_pos
2024-08-27,2024-09-03,7,7.75,7.23,7.10,1548.81,-805.38,-6.71,trailing,100641.66
2025-10-31,2025-12-05,35,7.56,8.47,7.01,1826.53,1662.14,12.04,trailing,102303.80
2026-02-05,2026-02-26,21,8.74,10.49,7.97,1332.08,2331.14,20.02,fim_periodo,104634.94
2018-07-13,2018-08-07,25,15.67,15.59,14.78,1121.75,-89.18,-0.51,trailing,99910.82
2018-12-12,2018-12-17,5,19.01,18.42,17.95,948.64,-554.63,-3.08,trailing,99356.19
2019-01-30,2019-02-12,13,20.68,20.21,19.74,960.72,-456.19,-2.30,trailing,98900.00
2019-04-26,2019-05-13,17,19.43,18.66,18.38,940.21,-718.86,-3.94,trailing,98181.14
2019-06-04,2019-07-23,49,20.27,22.45,19.15,873.25,1896.99,10.72,trailing,100078.13
2019-12-12,2020-02-06,56,25.07,27.63,23.97,798.26,2037.10,10.18,trailing,102115.23
2020-06-03,2020-06-15,12,19.27,17.73,17.02,454.71,-699.11,-7.98,trailing,101416.12
2021-03-11,2021-04-08,28,18.61,19.49,17.25,747.89,654.49,4.70,trailing,102070.62
2021-05-28,2021-06-17,20,21.33,21.40,19.89,708.31,53.13,0.35,trailing,102123.74
2021-11-10,2021-11-26,16,17.44,16.38,15.96,694.23,-734.83,-6.07,trailing,101388.91
2022-01-20,2022-03-02,41,16.76,18.30,15.60,868.03,1337.00,9.19,trailing,102725.92
2023-01-25,2023-02-03,9,20.58,19.91,19.13,708.69,-475.76,-3.26,trailing,102250.16
2023-02-17,2023-03-03,14,21.95,20.72,20.58,746.34,-916.36,-5.59,trailing,101333.80
2023-04-11,2023-04-24,13,22.93,22.24,21.54,729.04,-504.88,-3.02,trailing,100828.92
2023-11-16,2024-01-02,47,24.69,25.58,23.25,696.75,620.44,3.61,trailing,101449.35
2024-07-11,2024-07-25,14,22.92,22.16,21.90,885.27,-669.17,-3.30,trailing,100780.19
2025-02-03,2025-02-21,18,21.75,21.34,20.75,926.89,-374.42,-1.86,trailing,100405.77
2025-04-24,2025-06-05,42,24.43,25.50,23.08,741.93,792.83,4.37,trailing,101198.60
2025-09-11,2025-10-02,21,28.08,27.98,26.89,720.85,-68.86,-0.34,trailing,101129.74
2025-11-10,2025-12-05,25,28.73,27.67,27.66,703.91,-751.69,-3.72,trailing,100378.06
2026-01-21,2026-02-26,36,30.36,35.86,28.98,661.25,3636.89,18.12,fim_periodo,104014.94
2018-04-30,2018-05-23,23,6.12,6.21,5.79,3019.61,278.79,1.51,trailing,100278.79
