variacao,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,mrs,rsv
BASE,SAPR11,2025-06-13,2025-06-16,2025-06-26,7,33.91,35.60,5.00,-1.55,6.55,take_profit,6,19.26,72.03
BASE,SAPR11,2025-06-30,2025-07-01,2025-07-15,10,36.31,35.75,-1.55,-3.04,1.49,time_stop,8,24.06,224.77
BASE,SAPR11,2026-01-09,2026-01-12,2026-01-23,9,43.60,45.78,5.00,9.71,-4.71,take_profit,8,13.05,417.88
BASE,SANB11,2022-03-18,2022-03-21,2022-03-25,4,27.25,28.61,5.00,2.51,2.49,take_profit,6,2.37,94.30
BASE,SANB11,2024-04-29,2024-04-30,2024-05-15,10,25.52,24.94,-2.26,1.51,-3.78,time_stop,5,-2.12,233.25
BASE,SANB11,2025-02-05,2025-02-06,2025-02-20,10,25.07,24.46,-2.45,1.06,-3.51,time_stop,6,2.40,238.45
BASE,SANB11,2025-04-30,2025-05-02,2025-05-16,10,27.53,28.39,3.12,3.23,-0.11,time_stop,7,6.29,46.41
BASE,SANB11,2025-10-29,2025-10-30,2025-10-31,1,28.93,30.38,5.00,0.49,4.51,take_profit,8,1.15,145.73
BASE,SMTO3,2022-03-02,2022-03-03,2022-03-11,6,36.89,38.74,5.00,-2.99,7.99,take_profit,8,22.17,280.56
BASE,SMTO3,2022-05-31,2022-06-01,2022-06-15,10,43.33,38.64,-10.83,-7.53,-3.31,time_stop,7,30.41,517.66
BASE,CSNA3,2023-11-14,2023-11-16,2023-11-17,1,11.84,12.43,5.00,0.12,4.88,take_profit,6,-5.49,94.47
BASE,CSNA3,2023-11-20,2023-11-21,2023-11-22,1,13.74,14.43,5.00,0.32,4.68,take_profit,7,9.87,175.83
BASE,CSNA3,2025-12-10,2025-12-11,2025-12-29,10,9.58,8.93,-6.78,0.78,-7.57,time_stop,5,-0.43,141.17
BASE,SIMH3,2022-10-31,2022-11-01,2022-11-04,2,20.68,21.71,5.00,1.05,3.95,take_profit,5,-1.46,-3.94
BASE,SIMH3,2023-08-03,2023-08-04,2023-08-18,10,20.80,20.20,-2.85,-3.42,0.58,time_stop,6,19.88,79.31
BASE,SIMH3,2025-11-11,2025-11-12,2025-11-26,9,10.80,11.34,5.00,0.84,4.16,take_profit,7,1.25,11.70
BASE,SIMH3,2025-11-26,2025-11-27,2025-12-01,2,12.26,12.87,5.00,0.12,4.88,take_profit,6,14.05,30.43
BASE,SIMH3,2026-01-15,2026-01-16,2026-01-27,7,11.94,12.54,5.00,10.31,-5.31,take_profit,7,2.05,25.45
BASE,SLCE3,2022-03-03,2022-03-04,2022-03-07,1,16.04,16.84,5.00,-2.98,7.98,take_profit,7,18.46,325.11
BASE,SLCE3,2022-03-07,2022-03-08,2022-03-22,10,16.98,15.48,-8.86,5.42,-14.28,time_stop,6,31.02,139.70
BASE,SLCE3,2022-04-26,2022-04-27,2022-05-03,4,16.92,17.76,5.00,-2.65,7.65,take_profit,8,29.60,123.88
BASE,SLCE3,2023-01-27,2023-01-30,2023-02-13,10,16.93,17.25,1.87,-2.97,4.84,time_stop,8,5.45,182.82
BASE,SLCE3,2023-06-23,2023-06-26,2023-07-07,9,15.16,15.92,5.00,0.67,4.33,take_profit,5,-8.36,495.76
BASE,SLCE3,2023-07-27,2023-07-28,2023-08-11,10,17.31,16.75,-3.23,-1.95,-1.28,time_stop,6,4.47,212.01
BASE,SLCE3,2024-07-01,2024-07-02,2024-07-16,10,15.33,15.86,3.42,3.33,0.09,time_stop,6,2.84,168.33
BASE,SLCE3,2024-09-27,2024-09-30,2024-10-14,10,15.14,14.06,-7.09,-0.72,-6.37,time_stop,5,-0.38,151.88
BASE,SMFT3,2023-02-01,2023-02-02,2023-02-16,10,15.15,15.24,0.60,0.19,0.41,time_stop,8,10.60,46.94
BASE,SMFT3,2023-05-11,2023-05-12,2023-05-25,9,15.41,16.18,5.00,1.43,3.57,take_profit,8,11.46,355.95
BASE,SMFT3,2023-11-14,2023-11-16,2023-11-30,10,21.15,21.48,1.58,2.16,-0.58,time_stop,8,11.89,37.02
BASE,SMFT3,2025-08-07,2025-08-08,2025-08-18,6,22.03,23.13,5.00,1.07,3.93,take_profit,8,6.73,174.04
BASE,SUZB3,2022-10-26,2022-10-27,2022-11-10,9,47.64,50.03,5.00,-3.55,8.55,take_profit,6,-0.22,103.67
BASE,SUZB3,2023-08-03,2023-08-04,2023-08-18,10,45.80,46.94,2.49,-3.42,5.91,time_stop,5,-2.82,37.78
BASE,SUZB3,2023-09-15,2023-09-18,2023-09-21,3,48.62,51.05,5.00,-1.79,6.79,take_profit,7,5.73,85.07
BASE,SUZB3,2023-09-21,2023-09-22,2023-10-06,10,52.12,52.05,-0.12,-1.73,1.61,time_stop,7,15.06,359.43
BASE,SUZB3,2024-06-27,2024-06-28,2024-07-12,10,54.50,49.57,-9.04,4.00,-13.05,time_stop,7,5.41,494.00
BASE,SUZB3,2024-10-25,2024-10-28,2024-11-11,10,56.18,55.14,-1.86,-2.73,0.87,time_stop,7,6.13,96.70
BASE,SUZB3,2025-12-18,2025-12-19,2026-01-08,10,51.29,49.57,-3.35,2.77,-6.12,time_stop,5,-9.16,121.16
BASE,SUZB3,2026-02-11,2026-02-12,2026-03-02,10,58.10,58.06,-0.07,0.66,-0.73,time_stop,5,-10.48,211.56
BASE,TAEE11,2022-02-22,2022-02-23,2022-03-04,5,26.60,27.93,5.00,2.62,2.38,take_profit,7,7.71,116.09
BASE,TAEE11,2022-03-04,2022-03-07,2022-03-21,10,28.21,28.97,2.71,4.51,-1.80,time_stop,7,12.16,190.30
BASE,TAEE11,2023-11-10,2023-11-13,2023-11-28,10,29.46,30.34,2.99,5.05,-2.06,time_stop,6,-4.73,129.67
BASE,TAEE11,2023-12-15,2023-12-18,2024-01-04,10,30.91,31.62,2.27,0.06,2.21,time_stop,6,-6.33,73.89
BASE,TAEE11,2024-05-02,2024-05-03,2024-05-17,10,30.77,30.77,0.01,-0.36,0.37,time_stop,7,0.28,236.06
BASE,TAEE11,2024-10-16,2024-10-17,2024-10-31,10,31.35,31.50,0.49,-0.82,1.31,time_stop,6,-0.03,252.31
BASE,TAEE11,2025-04-30,2025-05-02,2025-05-16,10,33.73,33.78,0.16,3.23,-3.07,time_stop,7,3.64,24.73
