time_stop,combo,ticker,data_entrada,data_saida,dias,mrs_entrada,cruzamentos,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo
7,TS7d,UGPA3,2022-09-16,2022-09-27,7,-4.873,3,11.160,10.440,-6.479,-0.871,-5.608,time_stop
7,TS7d,UGPA3,2022-12-27,2023-01-06,7,-4.959,3,10.820,10.750,-0.644,0.572,-1.216,time_stop
7,TS7d,UGPA3,2024-06-07,2024-06-18,7,-4.710,5,20.480,19.370,-5.419,-0.862,-4.557,time_stop
10,TS10d,UGPA3,2022-07-08,2022-07-20,8,-4.541,5,10.400,10.920,5.000,-1.992,6.992,take_profit
10,TS10d,UGPA3,2022-09-16,2022-09-30,10,-4.873,3,11.160,10.220,-8.431,0.814,-9.245,time_stop
10,TS10d,UGPA3,2022-12-27,2023-01-11,10,-4.959,3,10.820,11.360,5.000,4.004,0.996,take_profit
10,TS10d,UGPA3,2024-06-07,2024-06-21,10,-4.710,5,20.480,19.480,-4.890,0.760,-5.650,time_stop
5,TS5d,USIM5,2022-03-10,2022-03-17,5,-4.713,3,13.260,12.500,-5.739,-0.640,-5.099,time_stop
5,TS5d,USIM5,2024-06-03,2024-06-10,5,-4.187,3,7.580,7.050,-6.992,-0.920,-6.072,time_stop
5,TS5d,USIM5,2026-02-23,2026-02-24,1,-4.727,3,6.180,6.490,5.000,1.410,3.590,take_profit
7,TS7d,USIM5,2022-03-10,2022-03-21,7,-4.713,3,13.260,12.820,-3.364,2.322,-5.686,time_stop
7,TS7d,USIM5,2024-06-03,2024-06-12,7,-4.187,3,7.580,7.050,-6.992,-1.672,-5.320,time_stop
7,TS7d,USIM5,2026-02-23,2026-02-24,1,-4.727,3,6.180,6.490,5.000,1.410,3.590,take_profit
10,TS10d,USIM5,2022-03-10,2022-03-24,10,-4.713,3,13.260,12.580,-5.145,4.881,-10.026,time_stop
10,TS10d,USIM5,2024-06-03,2024-06-17,10,-4.187,3,7.580,7.100,-6.332,-2.280,-4.052,time_stop
10,TS10d,USIM5,2026-02-23,2026-02-24,1,-4.727,3,6.180,6.490,5.000,1.410,3.590,take_profit
5,TS5d,VALE3,2024-11-13,2024-11-22,5,-4.172,9,50.200,50.950,1.500,1.359,0.141,time_stop
5,TS5d,VALE3,2025-04-07,2025-04-14,5,-4.523,14,47.470,49.850,5.000,2.998,2.002,take_profit
5,TS5d,VALE3,2025-04-23,2025-04-30,5,-4.398,10,50.400,48.530,-3.716,1.976,-5.692,time_stop
7,TS7d,VALE3,2024-11-13,2024-11-26,7,-4.172,9,50.200,50.290,0.192,1.866,-1.674,time_stop
7,TS7d,VALE3,2025-04-07,2025-04-14,5,-4.523,14,47.470,49.850,5.000,2.998,2.002,take_profit
7,TS7d,VALE3,2025-04-23,2025-05-05,7,-4.398,10,50.400,48.620,-3.534,0.976,-4.510,time_stop
10,TS10d,VALE3,2024-11-13,2024-11-29,10,-4.172,9,50.200,51.480,2.547,-1.617,4.164,time_stop
10,TS10d,VALE3,2025-04-07,2025-04-14,5,-4.523,14,47.470,49.850,5.000,2.998,2.002,take_profit
10,TS10d,VALE3,2025-04-23,2025-05-08,10,-4.398,10,50.400,48.420,-3.934,3.068,-7.002,time_stop
5,TS5d,VAMO3,2024-08-07,2024-08-14,5,-4.620,6,7.500,7.600,1.340,4.547,-3.207,time_stop
7,TS7d,VAMO3,2024-08-07,2024-08-16,7,-4.620,6,7.500,7.540,0.609,5.039,-4.430,time_stop
10,TS10d,VAMO3,2024-08-07,2024-08-19,8,-4.620,6,7.500,7.870,5.000,6.401,-1.401,take_profit
5,TS5d,VBBR3,2024-06-26,2024-07-03,5,-4.560,3,16.920,17.740,4.879,2.518,2.361,time_stop
7,TS7d,VBBR3,2024-06-26,2024-07-04,6,-4.560,3,16.920,17.760,5.000,2.921,2.079,take_profit
10,TS10d,VBBR3,2024-06-26,2024-07-04,6,-4.560,3,16.920,17.760,5.000,2.921,2.079,take_profit
5,TS5d,VIVA3,2024-11-14,2024-11-25,5,-4.071,5,22.910,22.920,0.041,1.127,-1.086,time_stop
5,TS5d,VIVA3,2024-11-26,2024-12-03,5,-4.587,5,23.130,21.490,-7.084,-3.135,-3.949,time_stop
7,TS7d,VIVA3,2024-11-14,2024-11-27,7,-4.071,5,22.910,22.370,-2.356,-0.137,-2.219,time_stop
10,TS10d,VIVA3,2024-11-14,2024-12-02,10,-4.071,5,22.910,21.310,-6.986,-1.923,-5.063,time_stop
5,TS5d,WEGE3,2026-03-02,2026-03-09,5,-4.975,4,49.300,46.580,-5.517,-4.442,-1.075,time_stop
7,TS7d,WEGE3,2026-03-02,2026-03-11,7,-4.975,4,49.300,46.880,-4.909,-2.852,-2.057,time_stop
10,TS10d,WEGE3,2026-03-02,2026-03-16,10,-4.975,4,49.300,45.970,-6.755,-4.825,-1.930,time_stop
