ticker,data,mrs,rsv,atr_ratio,close,variacao,ret_5d,ret_bova_5d,ret_rel_5d,ret_10d,ret_bova_10d,ret_rel_10d,ret_20d,ret_bova_20d,ret_rel_20d,dias_mrs,dias_rsv,mrs_recuo
IGTI11,2023-05-10,11.211,83.311,1.006,19.740,I,0.896,-2.056,2.951,3.866,-0.523,4.389,6.459,-1.826,8.285,,,9.530
IGTI11,2023-05-17,9.914,-13.589,0.970,19.920,I,2.944,1.565,1.379,1.682,1.612,0.071,3.598,1.986,1.612,,,9.297
IGTI11,2023-06-06,9.193,63.967,0.974,20.790,I,-0.716,-1.214,0.498,1.567,-4.035,5.601,1.209,2.309,-1.101,,,6.987
IGTI11,2023-06-07,9.626,63.217,0.983,21.020,I,-1.816,1.748,-3.564,0.000,-2.150,2.150,-1.329,3.655,-4.983,,,9.193
IGTI11,2023-06-20,5.277,105.311,0.980,20.940,I,-0.222,-1.280,1.057,-0.622,4.581,-5.203,-4.800,3.987,-8.787,,,2.743
IGTI11,2023-06-21,5.720,93.550,0.987,21.120,I,-1.719,6.915,-8.634,-0.353,6.611,-6.963,-5.950,5.089,-11.039,,,5.277
IGTI11,2023-07-28,1.800,459.531,0.888,20.480,I,1.864,-4.781,6.644,1.045,-6.947,7.993,-4.682,-7.342,2.660,,,1.572
IGTI11,2023-08-01,2.883,276.237,0.955,20.870,I,-1.338,-5.574,4.236,-3.524,-6.287,2.763,-4.951,-5.975,1.024,,,0.030
IGTI11,2023-09-01,0.415,116.357,0.962,19.820,I,-3.052,-0.422,-2.629,-2.113,3.291,-5.403,-7.042,5.285,-12.327,,,-1.327
IGTI11,2023-09-04,1.818,93.293,0.984,20.130,I,-1.942,3.240,-5.182,-3.699,4.586,-8.285,-10.171,8.774,-18.945,,,0.415
IGTI11,2023-12-13,0.709,3.430,0.903,22.370,I,0.166,1.567,-1.400,1.414,0.618,0.796,1.581,4.092,-2.511,,,0.576
IGTI11,2024-01-03,0.260,-19.478,0.955,22.900,I,-0.691,4.105,-4.796,-3.293,1.277,-4.570,-2.927,5.382,-8.309,,,-2.333
IGTI11,2024-01-19,0.918,-53.569,1.030,22.100,I,-0.842,2.391,-3.233,-0.168,5.546,-5.714,-1.179,8.018,-9.197,,,-0.055
