estrategia,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,B,mrs,vol_ratio,contracao
A,AXIA6,2025-10-29,2025-10-30,2025-11-06,5,44.51,46.73,5.00,3.02,1.98,take_profit,7,1,19.07,1.18,0.44
A,AXIA6,2025-11-06,2025-11-07,2025-11-12,3,46.99,49.34,5.00,2.41,2.59,take_profit,8,2,19.92,2.92,0.48
A,AXIA6,2025-11-14,2025-11-17,2025-11-26,6,49.67,52.15,5.00,1.27,3.73,take_profit,8,2,22.85,2.06,0.43
A,AXIA6,2025-11-26,2025-11-27,2025-12-04,5,52.78,55.42,5.00,3.84,1.16,take_profit,8,1,26.77,0.88,0.34
A,AXIA6,2025-12-04,2025-12-05,2025-12-19,10,55.60,52.52,-5.55,0.73,-6.28,time_stop,7,1,27.53,0.79,0.39
A,AXIA6,2026-01-02,2026-01-05,2026-01-19,10,52.61,54.13,2.89,2.16,0.73,time_stop,7,0,20.16,0.63,0.35
A,AXIA6,2026-01-21,2026-01-22,2026-02-03,8,57.22,60.08,5.00,5.47,-0.47,take_profit,7,1,18.17,0.95,0.41
A,AXIA6,2026-02-03,2026-02-04,2026-02-19,9,60.16,63.17,5.00,3.81,1.19,take_profit,7,1,15.89,1.26,0.45
A,AXIA6,2026-02-19,2026-02-20,2026-03-06,10,65.98,64.29,-2.56,-5.78,3.22,time_stop,8,2,24.33,2.22,0.47
A,AZZA3,2022-02-15,2022-02-16,2022-03-04,10,73.09,65.09,-10.95,-0.33,-10.62,time_stop,7,0,5.65,0.84,0.33
A,AZZA3,2022-04-01,2022-04-04,2022-04-19,10,78.54,78.50,-0.05,-5.03,4.98,time_stop,8,1,6.25,1.43,0.30
A,AZZA3,2022-04-19,2022-04-20,2022-05-05,10,79.06,71.62,-9.42,-7.77,-1.65,time_stop,7,0,11.65,0.58,0.27
A,AZZA3,2022-07-28,2022-07-29,2022-08-03,3,68.35,71.76,5.00,0.91,4.09,take_profit,7,1,7.86,1.25,0.49
A,AZZA3,2022-08-03,2022-08-04,2022-08-12,6,71.94,75.54,5.00,6.01,-1.01,take_profit,7,1,13.00,1.86,0.47
A,AZZA3,2022-08-18,2022-08-19,2022-09-01,9,75.99,79.79,5.00,-0.87,5.87,take_profit,7,0,8.44,1.04,0.28
A,AZZA3,2022-09-01,2022-09-02,2022-09-19,10,80.65,82.82,2.69,1.06,1.63,time_stop,7,1,16.80,1.24,0.42
A,AZZA3,2022-09-19,2022-09-20,2022-10-03,9,82.93,87.07,5.00,3.26,1.74,take_profit,7,1,17.83,1.42,0.54
A,AZZA3,2022-10-07,2022-10-10,2022-10-25,10,87.05,84.85,-2.53,-1.43,-1.10,time_stop,7,0,16.27,1.00,0.41
A,AZZA3,2022-10-25,2022-10-26,2022-10-31,3,84.14,88.35,5.00,3.10,1.90,take_profit,8,0,14.77,0.78,0.34
A,AZZA3,2022-10-31,2022-11-01,2022-11-17,10,89.26,73.99,-17.10,-6.31,-10.79,time_stop,7,1,17.70,1.41,1.00
A,AZZA3,2025-05-14,2025-05-15,2025-05-19,2,38.15,40.06,5.00,0.26,4.74,take_profit,7,1,6.93,0.69,0.46
A,AZZA3,2025-05-19,2025-05-20,2025-06-03,10,40.84,40.77,-0.18,-1.78,1.61,time_stop,8,1,14.02,0.63,0.31
A,AZZA3,2025-06-03,2025-06-04,2025-06-18,10,41.19,37.55,-8.85,1.20,-10.05,time_stop,7,0,17.33,0.37,0.30
A,B3SA3,2022-03-29,2022-03-30,2022-04-13,10,13.58,12.60,-7.21,-2.92,-4.30,time_stop,7,1,9.69,0.93,0.50
A,B3SA3,2022-04-20,2022-04-22,2022-05-06,10,12.71,10.29,-19.05,-5.17,-13.88,time_stop,7,0,8.82,0.60,0.33
A,B3SA3,2022-10-11,2022-10-13,2022-10-27,10,12.46,12.36,-0.86,-0.24,-0.62,time_stop,7,0,8.36,0.74,0.31
A,B3SA3,2022-11-09,2022-11-10,2022-11-25,10,13.26,10.73,-19.13,-0.97,-18.16,time_stop,7,1,14.62,1.78,0.40
A,B3SA3,2023-05-17,2023-05-18,2023-06-01,10,12.00,12.60,5.00,0.42,4.58,take_profit,7,1,8.02,1.97,0.47
A,B3SA3,2023-06-14,2023-06-15,2023-06-29,10,13.69,13.35,-2.50,-0.42,-2.08,time_stop,7,0,12.27,1.36,0.31
A,B3SA3,2023-08-01,2023-08-02,2023-08-16,10,13.44,12.59,-6.31,-4.39,-1.92,time_stop,7,0,6.14,1.00,0.33
A,B3SA3,2024-08-21,2024-08-22,2024-09-05,10,12.15,11.87,-2.33,1.00,-3.33,time_stop,7,1,0.24,1.58,0.24
A,B3SA3,2025-02-13,2025-02-14,2025-02-28,10,10.81,9.95,-7.96,-3.89,-4.07,time_stop,7,0,5.44,0.55,0.35
A,B3SA3,2025-03-13,2025-03-14,2025-03-17,1,11.22,11.78,5.00,1.60,3.40,take_profit,7,2,8.75,2.26,0.83
A,B3SA3,2025-03-20,2025-03-21,2025-04-04,10,11.98,11.59,-3.26,-3.82,0.56,time_stop,7,0,10.28,0.72,0.44
A,B3SA3,2025-04-04,2025-04-07,2025-04-23,10,11.41,11.98,5.00,5.17,-0.17,take_profit,7,0,11.28,0.79,0.34
A,B3SA3,2025-04-30,2025-05-02,2025-05-08,4,12.90,13.54,5.00,0.90,4.10,take_profit,7,1,15.99,1.50,0.48
A,B3SA3,2025-05-30,2025-06-02,2025-06-16,10,13.62,12.95,-4.87,1.85,-6.72,time_stop,7,1,15.33,1.65,0.39
A,B3SA3,2025-06-16,2025-06-17,2025-06-30,8,13.07,13.72,5.00,0.24,4.76,take_profit,7,0,9.28,0.72,0.41
A,B3SA3,2025-07-07,2025-07-08,2025-07-22,10,14.13,12.64,-10.54,-3.67,-6.87,time_stop,8,1,18.07,1.51,0.30
A,B3SA3,2025-09-22,2025-09-23,2025-10-07,10,13.09,11.90,-9.07,-3.40,-5.66,time_stop,7,1,0.18,1.93,0.41
A,B3SA3,2026-01-16,2026-01-19,2026-01-27,6,15.18,15.94,5.00,10.06,-5.06,take_profit,7,1,1.31,1.11,0.42
A,B3SA3,2026-02-24,2026-02-25,2026-03-11,10,18.22,17.99,-1.26,-3.87,2.61,time_stop,7,1,4.52,0.73,0.29
A,BBSE3,2022-02-10,2022-02-11,2022-02-25,10,15.39,15.42,0.17,-0.38,0.55,time_stop,7,1,14.76,1.87,0.39
A,BBSE3,2022-03-18,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,2,10.83,2.75,0.71
A,BBSE3,2022-03-29,2022-03-30,2022-04-08,7,16.64,17.48,5.00,-1.66,6.66,take_profit,8,1,12.02,0.66,0.35
A,BBSE3,2022-04-08,2022-04-11,2022-04-27,10,17.56,17.45,-0.61,-6.26,5.65,time_stop,8,0,19.33,1.24,0.29
A,BBSE3,2022-05-06,2022-05-09,2022-05-23,10,16.62,17.12,2.98,7.10,-4.12,time_stop,7,0,24.73,0.57,0.46
A,BBSE3,2022-05-23,2022-05-24,2022-05-31,5,16.97,17.82,5.00,0.51,4.49,take_profit,7,0,18.34,1.11,0.40
A,BBSE3,2022-05-31,2022-06-01,2022-06-15,10,18.00,16.67,-7.36,-7.53,0.16,time_stop,8,2,22.56,2.26,0.62
A,BBSE3,2022-06-30,2022-07-01,2022-07-15,10,17.39,18.26,5.00,-2.47,7.47,take_profit,7,1,27.82,1.99,0.56
A,BBSE3,2022-07-15,2022-07-18,2022-07-29,9,18.46,19.38,5.00,6.35,-1.35,take_profit,7,1,34.49,1.85,0.89
A,BBSE3,2022-07-29,2022-08-01,2022-08-12,9,19.40,20.37,5.00,10.23,-5.23,take_profit,9,1,29.89,1.04,0.30
A,BBSE3,2022-08-12,2022-08-15,2022-08-29,10,20.43,19.56,-4.28,-0.52,-3.76,time_stop,7,1,22.77,0.74,0.47
A,BBSE3,2022-08-29,2022-08-30,2022-09-14,10,19.56,19.49,-0.35,0.33,-0.68,time_stop,7,0,15.95,0.50,0.37
A,BBSE3,2022-09-16,2022-09-19,2022-10-03,10,20.36,18.96,-6.88,3.86,-10.74,time_stop,8,2,22.14,2.55,0.99
A,BBSE3,2022-10-18,2022-10-19,2022-11-03,10,20.00,20.51,2.53,0.67,1.86,time_stop,8,1,9.20,0.89,0.39
A,BBSE3,2022-11-07,2022-11-08,2022-11-23,10,20.80,21.48,3.26,-6.29,9.55,time_stop,7,1,12.42,1.79,0.70
A,BBSE3,2022-11-23,2022-11-24,2022-12-08,10,21.55,21.81,1.19,-4.28,5.47,time_stop,7,0,19.84,0.94,0.36
A,BBSE3,2022-12-08,2022-12-09,2022-12-21,8,21.81,22.90,5.00,-0.03,5.03,take_profit,7,0,21.13,1.18,0.43
A,BBSE3,2022-12-21,2022-12-22,2023-01-06,10,23.23,23.24,0.03,1.51,-1.48,time_stop,7,1,25.89,0.96,0.68
A,BBSE3,2023-01-06,2023-01-09,2023-01-23,10,23.19,24.35,5.00,2.42,2.58,take_profit,7,0,21.18,0.68,0.39
